ar;hopur;L50;SE;reg
1988;1;NA;NA;S1
1989;1;NA;NA;S1
1990;1;18.47801709;0.152150299;S1
1991;1;18.46663047;0.12994875;S1
1992;1;17.67423554;0.099390936;S1
1993;1;18.79694272;0.107108542;S1
1994;1;18.34023404;0.083277022;S1
1995;1;18.02080439;0.165114672;S1
1996;1;19.74475066;0.077113468;S1
1997;1;18.03776994;0.137584309;S1
1998;1;18.43361102;0.056630864;S1
1999;1;17.43033793;0.151845813;S1
2000;1;16.56656128;0.078781456;S1
2001;1;17.81927805;0.183934118;S1
2002;1;15.76967279;0.119981433;S1
2003;1;17.21606031;0.073909681;S1
2004;1;NA;NA;S1
2005;1;16.88164411;0.139503275;S1
2006;1;NA;NA;S1
2007;1;NA;NA;S1
2008;1;NA;NA;S1
2009;1;NA;NA;S1
2010;1;17.82867604;0.098391148;S1
2011;1;16.77418025;0.12872476;S1
2012;1;17.49522506;0.060145076;S1
2013;1;17.1203512;0.13438763;S1
2014;1;16.59917129;0.075549868;S1
2015;1;18.0006231;0.071047447;S1
2016;1;18.93838726;0.096270232;S1
2017;1;NA;NA;S1
2018;1;18.82770551;0.07259123;S1
2019;1;NA;NA;S1
2020;1;17.97371789;0.196178996;S1
1988;3;19.8206707;0.221500156;S4
1989;3;20.37899975;0.438620276;S4
1990;3;19.39016278;0.233240713;S4
1991;3;19.41115298;0.35691647;S4
1992;3;18.66343463;0.286351119;S4
1993;3;19.52302792;0.339262077;S4
1994;3;18.77115312;0.406993993;S4
1995;3;19.91692033;0.283334176;S4
1996;3;19.81775809;0.194149976;S4
1997;3;17.88950696;0.254845569;S4
1998;3;18.96845331;0.18083379;S4
1999;3;19.15580602;0.130037439;S4
2000;3;17.77881796;0.241083813;S4
2001;3;17.47258552;0.183320857;S4
2002;3;18.13147567;0.184734229;S4
2003;3;18.0997106;0.110088877;S4
2004;3;17.24524558;0.215085489;S4
2005;3;18.63946778;0.114377707;S4
2006;3;18.58232739;0.176897137;S4
2007;3;17.91460397;0.216983994;S4
2008;3;17.52607982;10.162607;S4
2009;3;18.66950375;0.117436456;S4
2010;3;17.98013882;0.129382196;S4
2011;3;16.68653003;0.063684813;S4
2012;3;17.40103571;0.106481363;S4
2013;3;17.09896147;0.130980543;S4
2014;3;NA;NA;S4
2015;3;18.23730905;0.126751152;S4
2016;3;19.18023862;0.144486606;S4
2017;3;15.90511733;0.092804393;S4
2018;3;18.52657329;0.101111807;S4
2019;3;NA;NA;S4
2020;3;18.39217615;0.133358208;S4
1988;4;23.35514038;0.30548497;OS
1989;4;23.51863438;0.256914953;OS
1990;4;24.33143562;0.238466566;OS
1991;4;24.79312856;0.211842035;OS
1992;4;23.10837874;0.230156823;OS
1993;4;23.21032032;0.300116457;OS
1994;4;23.05905831;0.208909439;OS
1995;4;22.83679091;0.194227513;OS
1996;4;22.49426506;0.20724107;OS
1997;4;23.00795194;0.401043993;OS
1998;4;22.36510209;0.227153859;OS
1999;4;22.39124777;0.17463896;OS
2000;4;23.08829683;0.212983814;OS
2001;4;23.05143411;0.10489151;OS
2002;4;24.152531;0.248230176;OS
2003;4;23.41979224;0.246832685;OS
2004;4;23.16611202;0.293387244;OS
2005;4;21.9353403;0.168282563;OS
2006;4;22.23411252;0.250311383;OS
2007;4;NA;NA;OS
2008;4;22.50680404;0.156467437;OS
2009;4;22.6274496;0.155913792;OS
2010;4;22.85430094;0.225840899;OS
2011;4;23.24302937;0.210400466;OS
2012;4;23.38038494;0.139784557;OS
2013;4;22.25012322;0.171725293;OS
2014;4;NA;NA;OS
2015;4;22.89247959;0.203408324;OS
2016;4;22.97827364;0.173423466;OS
2017;4;23.14377725;0.193718713;OS
2018;4;23.34214441;0.13885953;OS
2019;4;NA;NA;OS
2020;4;24.21990563;0.189292735;OS
